layer	latent	clinical_exp	model
12	5180	"""The model is activated by medical terms, particularly those related to the brain or cardiovascular system, often indicating a diagnosis or medical condition."""	2B
12	5182	"""The absence of contrast in medical imaging techniques."""	2B
12	5183	"""Prepositions and conjunctions used in describing spatial relationships, measurements, or ranges, often in a medical or anatomical context."""	2B
12	5184	"""Contact information, specifically phone and fax numbers, often accompanied by their respective labels."""	2B
12	5185	"""Medical terminology, particularly names of medical conditions, procedures, medications, and diagnostic tests, as well as certain keywords in medical history and social history."""	2B
12	5186	"""Numerical values, particularly those indicating quantities, dosages, or measurements."""	2B
12	5187	"""Units of measurement, particularly those related to flow rates, pressures, and resistances, often in the context of cardiovascular physiology."""	2B
12	5188	"""Medical terms, particularly those related to medications, medical procedures, or physiological conditions."""	2B
12	5189	"""The side of the body (left or right) associated with a medical condition, injury, or anatomical feature."""	2B
12	5190	"""The model is activated by age-related phrases, particularly those containing the word \""year\"" or \""old\"", often in the context of a patient's demographic information."""	2B
12	5191	"""Empty or blank tokens, often used to indicate a placeholder or a missing value, or a token that is part of a dosage or measurement."""	2B
12	5193	"""The presence of \""CD\"" in medical contexts, often referring to Cluster of Differentiation, a protocol used for the identification and investigation of cell surface molecules presenting on white blood cells."""	2B
12	5194	"""Official or formal documents, particularly those that are sent or provided to patients or individuals, often for informative or administrative purposes."""	2B
12	5195	"""Hospital-related events, transitions, or changes, including admissions, discharges, transfers, and medical procedures."""	2B
12	5196	"""Medical conditions or diagnoses."""	2B
12	5197	"""The model is activated by tokens that are part of a medical or clinical context, particularly those that are part of a doctor-patient interaction, medical procedures, or patient instructions."""	2B
12	5200	"""The digit \""1\"" or a blank space when it appears in a specific format, typically indicating a quantity or dosage in a medical prescription."""	2B
12	5202	"""Medical terms or phrases, often related to diagnoses, conditions, or treatments, particularly those with Greek or Latin roots."""	2B
12	5203	"""The model is activated by units of measurement, medical terminology, and medical concepts, particularly those related to medical procedures, medications, and intensive care."""	2B
12	5204	"""Medication dosages or quantities."""	2B
12	5205	"""Medical terms related to cancer diagnosis, treatment, or complications, particularly those involving lymph nodes or metastasis."""	2B
12	5208	"""Quantitative measurements or physical examination findings."""	2B
12	5209	"""The model is activated by mentions of theft or stealing, regardless of context."""	2B
12	5210	"""The presence of \""eluting\"" stents, often in the context of coronary artery disease treatment."""	2B
12	5211	"""Medical imaging or diagnostic procedures."""	2B
12	5212	"""The model is activated by tokens that are part of medical terminology or specific details within medical descriptions, particularly when they are nouns or noun phrases that provide context to the medical condition or procedure being described."""	2B
12	5213	"""The activation patterns suggest that the model is responding to the concept of \""rolling\"" or \""roll\"" in various contexts, including physical actions, medical equipment, and accidents, with a focus on the verb or gerund form of the word."""	2B
12	5214	"""Medical abbreviations or terms, particularly those related to medical procedures, diagnoses, or patient history."""	2B
12	5215	"""Spinal-related conditions or diagnoses."""	2B
12	5217	"""Newspaper or news-related terms, names of publications, or words related to medical treatment or procedures, particularly those involving staples or medications."""	2B
12	5218	"""The presence of the string \""app\"" in medical contexts, often related to \""appendectomy\"" or appointment scheduling."""	2B
12	5219	"""The model is activated by medical terms, particularly those related to surgical procedures, medical conditions, and anatomical locations, often with a focus on vascular or cardiac contexts."""	2B
12	5220	"""The model is activated by phrases that indicate a recommendation, instruction, or request for future action, often involving a healthcare provider or medical procedure."""	2B
